,Food_name,Food_Group,Descrip,ingredient,Value
0,Maize,Vegetables,"Cereals ready-to-eat, KASHI Simply Maize",Energy_kcal,371.0
1,Potatoes,Vegetables,"Potatoes, raw, skin",Energy_kcal,58.0
2,Cassava,Vegetables,"Cassava, raw, root vegetable, like potatoes and yams",Energy_kcal,160.0
3,Cabbage,Vegetables,"Cabbage, mustard, salted",Energy_kcal,28.0
4,Peas,Vegetables,"Peas, green, raw",Energy_kcal,81.0
5,Tomatoes,Vegetables,"Tomatoes, green, raw",Energy_kcal,23.0
6,Onion,Vegetables,"Onions, raw",Energy_kcal,40.0
7,Leeks,Vegetables,"Leeks, (bulb and lower leaf-portion), like scallions, raw",Energy_kcal,61.0
8,Eggplant,Vegetables,"Eggplant, raw",Energy_kcal,25.0
9,Bamboo Shoot,Vegetables,"Bamboo shoots, raw",Energy_kcal,27.0
10,Garlic,Vegetables,"Garlic, raw",Energy_kcal,149.0
11,Mushrooms,Vegetables,"Mushrooms, shiitake, raw",Energy_kcal,34.0
12,Okra,Vegetables,"Okra, raw",Energy_kcal,33.0
13,Spinach,Vegetables,"Spinach, raw",Energy_kcal,23.0
14,Sweetcorn,Vegetables,"Corn, sweet, white, raw",Energy_kcal,86.0
15,Cucumber,Vegetables,"Cucumber, with peel, raw",Energy_kcal,15.0
16,Lettuce,Vegetables,"Lettuce, green leaf, raw",Energy_kcal,15.0
17,Orange,Fruits,"Oranges, raw, all commercial varieties",Energy_kcal,47.0
18,Bananas,Fruits,"Bananas, raw",Energy_kcal,89.0
19,Apples,Fruits,"Apples, raw, with skin",Energy_kcal,52.0
20,Blackberries,Fruits,"Blackberries, raw",Energy_kcal,43.0
21,Blueberries,Fruits,"Blueberries, raw",Energy_kcal,57.0
22,Strawberries,Fruits,"Strawberries, raw",Energy_kcal,32.0
23,Grapes,Fruits,"Grapes, american type (slip skin), raw",Energy_kcal,67.0
24,Pomegranate,Fruits,"Pomegranates, raw",Energy_kcal,83.0
25,Watermelon,Fruits,"Watermelon, raw",Energy_kcal,30.0
26,Soymilk,Dariy and Eggs,"Soymilk, original and vanilla, unfortified",Energy_kcal,54.0
27,Milk,Dariy and Eggs,"Milk, filled, fluid, with lauric acid oil",Energy_kcal,63.0
28,Cheese,Dariy and Eggs,"Cheese, brick",Energy_kcal,371.0
29,Milk(sheep),Dariy and Eggs,"Milk, sheep, fluid",Energy_kcal,108.0
30,Milk(nut),Dariy and Eggs,"Nuts, coconut milk, raw (liquid expressed from grated meat and water)",Energy_kcal,230.0
31,Cream,Dariy and Eggs,"Cheese, cream",Energy_kcal,342.0
32,Yogurt,Dariy and Eggs,"Yogurt, plain, whole milk, 8 grams protein per 8 ounce",Energy_kcal,61.0
33,Beer,Beverages,"Alcoholic beverage, beer, regular, all",Energy_kcal,43.0
34,Wine,Beverages,"Alcoholic beverage, wine, table, all",Energy_kcal,83.0
35,Coffee(instant),Beverages,"Coffee, instant, regular, powder",Energy_kcal,353.0
36,Coca cola,Beverages,"Beverages, COCA-COLA, POWERADE, lemon-lime flavored, ready-to-drink",Energy_kcal,32.0
37,Lemon Juice,Beverages,"Lemon juice, raw",Energy_kcal,22.0
38,Fish(farmed),Fish & Shellfish,"Fish, catfish, channel, farmed, raw",Energy_kcal,119.0
39,Shrimp(farmed),Fish & Shellfish,"Crustaceans, crayfish, mixed species, farmed, raw",Energy_kcal,72.0
40,Trout,Fish & Shellfish,"Fish, trout, rainbow, farmed, raw",Energy_kcal,141.0
41,Herring,Fish & Shellfish,"Fish, herring, Pacific, raw",Energy_kcal,195.0
