,Food_name,Descrip,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitC_mg,VitE_mg,Calcium_mg,sum_emission
0,Maize,"Cereals ready-to-eat, KASHI Simply Maize",371,7.8,3.4,83.3,22.1,6.1,0,0.0,0.0,0,0.11
1,Bread(rye),"Bread, rye",259,8.5,3.3,48.3,3.85,5.8,0,0.4,0.33,73,0.14
2,Beer,"Alcoholic beverage, beer, regular, all",43,0.46,0.0,3.55,0.0,0.0,0,0.0,0.0,4,0.11
3,Oatmeal,"Babyfood, cereal, oatmeal, dry",393,13.07,6.6,71.05,3.84,9.0,0,0.0,4.95,707,0.16
4,Rice,"Rice, white, long-grain, regular, raw, enriched",365,7.13,0.66,79.95,0.12,1.3,0,0.0,0.11,28,0.4
5,Potatoes,"Potatoes, raw, skin",58,2.57,0.1,12.44,0.0,2.5,0,11.4,0.0,30,0.03
6,Cassava,"Cassava, raw",160,1.36,0.28,38.06,1.7,1.8,1,20.6,0.19,16,0.09
7,Groundnuts,"Spices, nutmeg, ground",525,5.84,36.31,49.29,2.99,20.8,5,3.0,0.0,184,0.24
8,Palm oil,"Oil, palm",884,0.0,100.0,0.0,0.0,0.0,0,0.0,15.94,0,0.76
9,Rapeseed oil,"Oil, grapeseed",884,0.0,100.0,0.0,0.0,0.0,0,0.0,28.8,0,0.37
10,Brassicas,"Cabbage, mustard, salted",28,1.1,0.1,5.63,1.4,3.1,49,0.0,0.02,67,0.04
11,Sunflower oil,"Oil, sunflower, linoleic, (approx. 65%)",884,0.0,100.0,0.0,0.0,0.0,0,0.0,41.08,0,0.35
12,Peas,"Peas, green, raw",81,5.42,0.4,14.45,5.67,5.1,38,40.0,0.13,25,0.08
13,Nuts(cashew),"Nuts, cashew nuts, raw",553,18.22,43.85,30.19,5.91,3.3,0,0.5,0.9,37,0.02
14,Soymilk,"Soymilk, original and vanilla, unfortified",54,3.27,1.75,6.28,3.99,0.6,0,0.0,0.11,25,0.1
15,Tofu,"MORI-NU, Tofu, silken, soft",55,4.8,2.7,2.9,1.31,0.1,0,0.0,0.0,31,0.3
16,Olive oil,"Oil, olive, salad or cooking",884,0.0,100.0,0.0,0.0,0.0,0,0.0,14.35,1,0.6
17,Tomatoes,"Tomatoes, green, raw",23,1.2,0.2,5.1,4.0,1.1,32,23.4,0.38,13,0.14
18,Onion,"Onions, raw",40,1.1,0.1,9.34,4.24,1.7,0,7.4,0.02,23,0.03
19,Orange,"Oranges, raw, all commercial varieties",47,0.94,0.12,11.75,9.35,2.4,11,53.2,0.18,40,0.03
20,Bananas,"Bananas, raw",89,1.09,0.33,22.84,12.23,2.6,3,8.7,0.1,5,0.08
21,Apples,"Apples, raw, with skin",52,0.26,0.17,13.81,10.39,2.4,3,4.6,0.18,6,0.03
22,Blackberries,"Blackberries, raw",43,1.39,0.49,9.61,4.88,5.3,11,21.0,1.17,29,0.11
23,Blueberries,"Blueberries, raw",57,0.74,0.33,14.49,9.96,2.4,3,9.7,0.57,6,0.11
24,Strawberries,"Strawberries, raw",32,0.67,0.3,7.68,4.89,2.0,1,58.8,0.29,16,0.11
25,Wine,"Alcoholic beverage, wine, table, all",83,0.07,0.0,2.72,0.79,0.0,0,0.0,0.0,8,0.14
26,Coffee(instant),"Coffee, instant, regular, powder",353,12.2,0.5,75.4,0.0,0.0,0,0.0,0.0,141,1.65
27,Chocolate,Chocolate syrup,279,2.1,1.13,65.1,49.65,2.6,0,0.2,0.02,14,1.87
28,Beef(steak),"Beef, flank, steak, separable lean only, trimmed to 0"" fat, select, cooked, broiled",178,27.96,6.48,0.0,0.0,0.0,0,0.0,0.37,20,5.96
29,Beef(brisket),"Beef, brisket, flat half, separable lean and fat, trimmed to 1/8"" fat, choice, raw",278,18.12,22.15,0.12,0.0,0.0,0,0.0,0.44,15,5.96
30,Beef(flank),"Beef, flank, steak, separable lean only, trimmed to 0"" fat, all grades, raw",141,21.57,5.47,0.0,0.0,0.0,0,0.0,0.3,24,5.96
31,Lamb(rib),"Lamb, domestic, rib, separable lean only, trimmed to 1/4"" fat, choice, raw",169,19.98,9.23,0.0,0.0,0.0,0,0.0,0.19,12,2.45
32,Lamb(loin),"Lamb, domestic, loin, separable lean and fat, trimmed to 1/4"" fat, choice, raw",310,16.32,26.63,0.0,0.0,0.0,0,0.0,0.18,15,2.45
33,Lamb(shank),"Lamb, domestic, leg, shank half, separable lean and fat, trimmed to 1/4"" fat, choice, raw",201,18.58,13.49,0.0,0.0,0.0,0,0.0,0.21,8,2.45
34,Pork(leg),"Pork, fresh, leg (ham), whole, separable lean and fat, raw",245,17.43,18.87,0.0,0.0,0.0,0,0.7,0.0,5,0.72
35,Pork(loin),"Pork, fresh, loin, whole, separable lean and fat, raw",198,19.74,12.58,0.0,0.0,0.0,2,0.6,0.21,18,0.72
36,Pork(shoulder),"Pork, fresh, shoulder, whole, separable lean and fat, raw",236,17.18,17.99,0.0,0.0,0.0,2,0.7,0.19,15,0.72
37,Poultry(hens),"Poultry, mechanically deboned, from mature hens, raw",243,14.72,19.98,0.0,0.0,0.0,45,2.0,0.0,187,0.61
38,Milk,"Milk, filled, fluid, with lauric acid oil",63,3.33,3.4,4.74,4.74,0.0,2,0.9,0.13,128,0.28
39,Cheese,"Cheese, brick",371,23.24,29.68,2.79,0.51,0.0,292,0.0,0.26,674,2.12
40,Egg,"Egg, whole, raw, fresh",143,12.56,9.51,0.72,0.37,0.0,160,0.0,1.05,56,0.45
41,Fish(farmed),"Fish, catfish, channel, farmed, raw",119,15.23,5.94,0.0,0.0,0.0,0,0.0,0.81,8,0.51
42,Shrimp(farmed),"Crustaceans, crayfish, mixed species, farmed, raw",72,14.85,0.97,0.0,0.0,0.0,15,0.5,0.0,25,1.18
43,Leeks,"Leeks, (bulb and lower leaf-portion), raw",61,1.5,0.3,14.15,3.9,1.8,83,12.0,0.92,59,0.03
44,Grapes,"Grapes, american type (slip skin), raw",67,0.63,0.35,17.15,16.25,0.9,5,4.0,0.19,14,0.11
45,Beans,"Beans, yellow, mature seeds, raw",345,22.0,2.6,60.7,0.0,25.1,0,0.0,0.0,166,0.16
