Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,11092.675,11576.719,12713.489,12178.107,11840.743,10623.298999999999,9933.903,12236.778999999999,11378.701000000001,14891.687,16655.514,14495.651000000002,14055.611,15592.083999999999,14132.618,10234.597,21862.654,11419.038,9724.884,10201.594000000001,10498.621000000001,9999.909,11180.683,5746.189,14348.971000000001,16794.86,179.683,447.374,612.389,649.059,487.711,531.715,539.049,649.059,660.06,707.7310000000001,726.066,759.069,806.74,810.4069999999999,2379.883,2409.219,2438.555,2563.2329999999997,2618.238,2720.914,2717.2470000000003,2823.59,2658.575,2629.239,2508.228,2500.894,1349.4560000000001,861.745,872.7460000000001,898.415,883.747
Afghanistan,414.371,491.37800000000004,689.3960000000001,707.7310000000001,839.743,1008.425,1092.766,1283.45,1224.778,942.419,1672.152,1895.839,1532.806,1639.149,1917.8410000000001,2126.86,1987.514,2390.884,2159.863,2240.5370000000003,1760.16,1983.8470000000002,2101.1910000000003,2522.896,2830.9240000000004,3509.3190000000004,3142.619,3124.284,2867.594,2775.9190000000003,2614.571,2438.555,1393.46,1345.789,1294.451,1243.113,1177.107,1096.433,1041.428,821.408,773.737,817.7410000000001,1070.764,1213.777,916.75,1327.454,1650.15,2273.54,4206.049,6769.281999999999,8463.436,12240.446000000002,10755.311000000002,9050.155999999999,8467.103000000001,9035.488000000001,8672.455
Angola,550.05,454.708,1180.774,1151.438,1224.778,1188.108,1554.808,993.757,1672.152,2786.92,3582.659,3410.31,4506.7429999999995,4880.777,4873.443,4415.068,3285.632,3534.988,5412.491999999999,5504.1669999999995,5346.486,5280.48,4649.755999999999,5115.465,5009.122,4701.094,4660.7570000000005,5815.861999999999,5130.133,5009.122,5115.465,5089.795999999999,5196.139,5775.525,3890.687,10975.331,10458.284,7381.670999999999,7308.331,9156.499,9541.534,9732.218,12665.818000000001,9064.824,18793.375,19156.408,22266.023999999998,25151.952999999998,25709.337000000003,27792.193,29057.307999999997,30586.447,34176.44,33692.396,44851.077000000005,34583.477,34693.487
Albania,2024.184,2280.874,2464.224,2082.856,2016.85,2174.531,2552.232,2680.577,3072.946,3245.295,3744.007,4352.729,5643.513000000001,5291.481,4345.395,4594.751,4950.45,5720.52,6494.257,7587.023,5170.47,7341.334,7308.331,7631.026999999999,7825.378000000001,7880.383000000001,8056.399,7444.01,7326.666,8984.15,5515.168000000001,4286.723,2515.562,2335.879,1925.175,2086.5229999999997,2016.85,1543.807,1752.826,2984.938,3021.6079999999997,3223.2929999999997,3751.341,4294.057,4165.712,4253.72,3898.0209999999997,3927.357,4374.731,4378.398,4598.418,5240.143,4924.781,4913.78,5489.499,4616.753,4536.079000000001
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407.037,407.037,407.037,410.704,407.037,425.37199999999996,454.708,465.709,491.37800000000004,513.38,524.381,524.381,531.715,535.382,561.0509999999999,575.719,546.383,539.049,539.049,517.047,517.047,491.37800000000004,487.711,476.71,462.042,465.709,469.376
Arab World,56005.2997980268,62578.6055903334,70562.0507257941,85085.7515127061,99693.9137706925,120039.53552324,135758.648810129,146829.22263866698,167336.405004301,208659.203633279,218308.778433079,249247.63583913603,271726.592050847,316306.305766364,309153.57680517196,306329.937908275,371791.360865216,393308.29706264,423905.674081946,454143.21155392297,506837.674244918,494801.40856997704,473126.583591582,504990.742690771,550873.956807325,581790.7832206889,643580.374062029,644637.861711322,682674.370596836,693465.885184589,654823.524,744136.9759999999,803685.3890000001,893581.8940000001,918414.818,866178.4029999999,886431.2440000001,867865.223,906625.413,920112.6390000001,1046627.806,1040811.944,1062296.897,1143443.94,1253266.923,1318939.226,1382459.0,1360284.6509999998,1491783.271,1581643.106,1643369.717,1660509.275,1841219.035,1823115.0559999999,1932296.314,1953773.9330000002,1904104.418
United Arab Emirates,11.001,11.001,18.335,22.002,18.335,22.002,25.669,916.75,1243.113,20524.199,15247.386,21184.259,23454.132,30630.451,31327.181,31070.491,39651.271,38785.859,44814.407,36607.661,36904.687999999995,36857.017,36871.685,35342.546,46394.884000000005,49926.205,47234.627,47693.002,48367.73,54487.953,52009.060999999994,57010.849,58136.617999999995,65980.33099999999,73130.981,70641.088,73431.675,73699.366,81495.408,78374.791,112562.23199999999,101403.55099999999,84656.362,106783.04,113174.621,116071.55099999999,123728.24699999999,135554.322,157167.62,168274.96300000002,158623.419,171626.60100000002,219792.646,220713.063,226143.89,194765.371,206323.755
Argentina,48815.10400000001,51180.319,53695.880999999994,50083.886,55727.399000000005,58866.350999999995,63138.405999999995,65543.958,69082.613,77329.696,82734.854,88939.418,90156.862,94065.884,95569.354,94931.296,99786.40400000001,100791.162,102639.33,110703.06300000001,108737.55099999999,102041.609,103424.06800000001,105213.564,106522.683,100596.811,104212.47300000001,114942.115,121473.04199999999,117090.977,112147.86099999999,117098.311,121352.031,117927.05300000001,122408.127,127963.632,135000.605,138003.878,139815.376,146984.361,142136.587,133720.822,124714.67,135062.94400000002,157589.325,162110.736,175436.61399999997,175176.25699999998,189107.19,179961.69199999998,187904.414,191622.75199999998,193027.21300000002,193701.94100000002,195777.46300000002,201167.953,201347.63600000003
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5826.863,2555.899,2706.2459999999996,3410.31,2563.2329999999997,3234.2940000000003,3362.639,3014.2740000000003,3465.315,3542.322,3043.61,3428.645,3644.998,4349.062,4378.398,5056.793,5551.838000000001,4360.063,4209.715999999999,4917.447,5694.851,5496.8330000000005,5529.835999999999,4803.77,5155.802
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
